phase_harmonic_01	phase_harmonic_02	phase_harmonic_03	phase_harmonic_04	phase_harmonic_05	phase_harmonic_06	phase_harmonic_07	phase_harmonic_08	phase_harmonic_09	phase_harmonic_10	phase_harmonic_11	phase_harmonic_12	phase_harmonic_13	phase_harmonic_14	phase_harmonic_15	phase_harmonic_16	phase_svd_01	phase_svd_02	phase_svd_03	phase_svd_04	phase_svd_05
-0.6371403084	0.6371403084	-0.6371403084	0.6371403084	0.6371403084	-0.6371403084	0.6371403084	-0.6371403084	0.6371403084	-0.6371403084	0.6371403084	-0.6371403084	0.6371403084	-0.6371403084	0.6371403084	-0.6371403084	-0.1157671071	-0.6371403084	1.362428241	-1.126218714	1.185796487
0.7257596249	-0.7257596249	0.7257596249	-0.7257596249	-0.7257596249	0.7257596249	-0.7257596249	0.7257596249	-0.7257596249	0.7257596249	-0.7257596249	0.7257596249	-0.7257596249	0.7257596249	-0.7257596249	0.7257596249	0.6890027876	0.7257596249	1.396514989	-0.9538150175	1.397974247
1.026754288	-1.026754288	1.026754288	-1.026754288	-1.026754288	1.026754288	-1.026754288	1.026754288	-1.026754288	1.026754288	-1.026754288	1.026754288	-1.026754288	1.026754288	-1.026754288	1.026754288	1.146752324	1.026754288	1.200512979	0.5692820458	0.147262568
-1.266096686	1.266096686	-1.266096686	1.266096686	1.266096686	-1.266096686	1.266096686	-1.266096686	1.266096686	-1.266096686	1.266096686	-1.266096686	1.266096686	-1.266096686	1.266096686	-1.266096686	-0.3173379019	-1.266096686	1.33441036	-0.595212201	0.6124361437
-0.1163521282	0.1163521282	-0.1163521282	0.1163521282	0.1163521282	-0.1163521282	0.1163521282	-0.1163521282	0.1163521282	-0.1163521282	0.1163521282	-0.1163521282	0.1163521282	-0.1163521282	0.1163521282	-0.1163521282	-0.05282867492	-0.1163521282	1.385369467	-1.082108757	1.781700179
0.9562678077	-0.9562678077	0.9562678077	-0.9562678077	-0.9562678077	0.9562678077	-0.9562678077	0.9562678077	-0.9562678077	0.9562678077	-0.9562678077	0.9562678077	-0.9562678077	0.9562678077	-0.9562678077	0.9562678077	1.013901661	0.9562678077	1.338625933	-1.049220655	1.468125377
0.07998743051	-0.07998743051	0.07998743051	-0.07998743051	-0.07998743051	0.07998743051	-0.07998743051	0.07998743051	-0.07998743051	0.07998743051	-0.07998743051	0.07998743051	-0.07998743051	0.07998743051	-0.07998743051	0.07998743051	-0.1622884602	0.07998743051	1.43534171	-0.3071568079	0.7473267395
-0.5810604971	0.5810604971	-0.5810604971	0.5810604971	0.5810604971	-0.5810604971	0.5810604971	-0.5810604971	0.5810604971	-0.5810604971	0.5810604971	-0.5810604971	0.5810604971	-0.5810604971	0.5810604971	-0.5810604971	-0.5601358752	-0.5810604971	1.193276101	-0.4400248463	0.005151030398
0.009241417975	-0.009241417975	0.009241417975	-0.009241417975	-0.009241417975	0.009241417975	-0.009241417975	0.009241417975	-0.009241417975	0.009241417975	-0.009241417975	0.009241417975	-0.009241417975	0.009241417975	-0.009241417975	0.009241417975	0.09112295357	0.009241417975	1.415268602	-0.8587071234	1.285826544
1.960804178	-1.960804178	1.960804178	-1.960804178	-1.960804178	1.960804178	-1.960804178	1.960804178	-1.960804178	1.960804178	-1.960804178	1.960804178	-1.960804178	1.960804178	-1.960804178	1.960804178	1.950457973	1.960804178	1.370490139	0.5163564191	0.1978528383
